,date,title,source,contents,link
120,2일,"코리아오픈 배드민턴, 여자복식 4강전은 한일전 성사",뉴스1,코리아오픈 여자배드민턴 여자복식 4강전이 모두 한일전으로 열린다. 세계랭킹 8위 김소영(인천국제공항)-공희용(전북은행)조는 27일 인천광역시 인천공항 스카이돔에서 열린 세계배드민턴연맹(BWF) 월드투어...,http://news1.kr/articles/?3730979
121,2일,"한일 갈등 해소 마중물 될까…LS, 日 전선사와 합작사 설립키로",디지털투데이,한일간 경색국면 속에서 LS그룹이 일본 전선회사와 손을 잡으면서 갈등 해소의 마중물이 될 수 있을지 관심이 쏠린다. LS그룹은 미국 내 계열사 수페리어 에식스(SPSX)와 일본 후루카와 전기가 글로벌 권선제조...,http://www.digitaltoday.co.kr/news/articleView.html?idxno=215367
122,2일,강경화 “한일 외교장관회담 잘 진행…이슈에서는 큰 이견”,헤럴드경제,강 장관은 전날 진행된 모테기 도시미쓰 신임 일본 외무상과의 첫 한일 외교장관회담과 관련해서는 “잘... 또 한일갈등 국면 속 미국의 중재와 관련해선 “미국은 무엇보다 한일 양측에 대화를 촉구하고 있다”면서...,http://news.heraldcorp.com/view.php?ud=20190928000011
123,4일,"한일 재계, ""대화 통한 관계 복원 필요"" 제언",전자신문언론사 선정,한일 재계가 양국 갈등에 우려를 표하며 대화를 통한 관계 복원이 필요하다고 제언했다. 한일경제협회(회장 김윤)는 이날 오후 서울 중구 롯데호텔에서 일한경제협회(회장 사사키 미키오 미쓰비시상사 특별고문)와 이틀에...,http://www.etnews.com/20190925000325
124,2일,"美 국무부 “한일, 미래 향해 노력해야”…“입장 차 여전”",KBS,"美 국무부 “한일, 미래 향해 노력해야”…“입장 차 여전”",http://news.kbs.co.kr/news/view.do?ncd=4292209&ref=A
125,3일,"한일 외교수장 뉴욕 회동 ""서로 입장 반복""",tbs 교통방송,"겸한 한일 외교장관 회담을 했습니다. 회담 종료 직후 강 장관은 한국 특파원들에게 ""모테기 외무상과의 첫... 강 장관은 또 ""북핵 문제 등에서 한일 간 공조가 중요하다는 점에 대해서도 뜻을 같이했다""고 설명했습니다. 강...",http://www.tbs.seoul.kr/news/bunya.do?method=daum_html2&typ_800=4&seq_800=10360088
126,3일,"한일 언론 노동자들, 양국 갈등 조장·왜곡 보도에 공동 대응 ",PD저널,ⓒ뉴시스  일본 아베 정부의 경제 보복 조치로 한일 관계가 악화된 가운데 한일 갈등을 조장하거나 허위 정보를 퍼트리는 보도를 중단하기 위해 양국의 언론인들이 손을 잡았다. 전국언론노동조합과...,http://www.pdjournal.com/news/articleView.html?idxno=70505
127,1일,"박원순, 한일관계 악화에 “지자체·민간교류는 회복해야”",브릿지경제,"박원순, 한일관계 악화에 “지자체·민간교류는 회복해야” 박원순 서울시장이 한일 관계가 악화하면서 확산되는 일본 거부 운동은 일본 국민이 아니라 아베 신조(安倍晋三) 정권의 정책에 반대하고 있는 것이라며 양국간...",http://www.viva100.com/main/view.php?key=20190929010009596
128,4일,한일 정상들 대신 부인들만 만났다,동아일보언론사 선정,"것은 6월 일본 오사카에서 열린 주요 20개국(G20) 정상회의 이후 3개월여 만이다. 당시 한일 정상은 7초간 악수를 하는 데 그쳤지만, 김 여사는 아키에 여사가 주최한 G20 배우자 환영 차담회에 참석해 인사를 나누기도 했다.",http://www.donga.com/news/article/all/20190926/97591463/1
129,8시간,"한일 다문화가정 대학생, 한일 관계 개선 심포지엄 개최",대전투데이,"한일 다문화가정에서 자란 대학생들이 지난 25일, 선문대학교 성화학숙 애국관에서 심포지엄을 열었다.... 이호석(법·경찰학과, 4학년) 학생은 최근 경색된 한일 관계 속에서 유학생이 많은 선문대에서 다른나라 학생과...",http://www.daejeontoday.com/news/articleView.html?idxno=570421
130,8시간,"한일 다문화가정 대학생, 한일 관계 개선 심포지엄 개최",대전투데이,"한일 다문화가정에서 자란 대학생들이 지난 25일, 선문대학교 성화학숙 애국관에서 심포지엄을 열었다.... 이호석(법·경찰학과, 4학년) 학생은 최근 경색된 한일 관계 속에서 유학생이 많은 선문대에서 다른나라 학생과...",http://www.daejeontoday.com/news/articleView.html?idxno=570421
131,4일,한일경제인회의 “양국 경제 상호발전 위해 정치‧외교 복원해야”,조선비즈언론사 선정,한국과 일본의 재계 모임인 한일경제인회의에서 양국 갈등에 대한 우려와 함께 대화를 통한 관계 회복이 필요하다는 목소리가 나왔다. 한일경제협회와 일한경제협회는 24~25일 서울 중구 롯데호텔에서 열린 51회...,http://biz.chosun.com/site/data/html_dir/2019/09/25/2019092502213.html
132,2일,[한일 교두보 사명대사 5] 불제자로 살다간 호국영웅,BTN불교TV,조선의 운명을 바꾼 외교관으로 정진의 끈을 놓지 않았던 사명대사는 67세를 일기로 원적에 들며 자통홍제존자라는 시호를 받게 되는데요. 사명대사 기획보도 마지막 시간은 불제자로 살다간 선승의...,http://www.btnnews.tv/news/articleView.html?idxno=56616
133,3일,"아베, 외교무대서 ""한일 갈등은 한국 탓"" 강변",YTN언론사 선정,한일관계가 심각하게 악화된 가운데 아베 신조 일본 총리가 유엔총회가 열린 외교무대에서 사사건건 한국의 책임을 거론했습니다. 미일 정상회담에서는 한일 관계와 한미일 3자 안보협력이 논의돼 한미 정상회담과...,https://www.ytn.co.kr/_ln/0104_201909261905147661
134,3일,"한일 외교 회담 “북핵 문제, 미래지향적 관계 위해 계속 공조”",KBS,한일 외교장관이 유엔총회를 계기로 뉴욕에서 회담을 가졌습니다. 최근 일본 외교안보 라인이 교체된 후 양국 외교장관의 첫 만남이었는데요. 한일 군사정보보호협정 종료 문제와 강제징용 문제와 관련한 한국 대법원...,http://news.kbs.co.kr/news/view.do?ncd=4291517&ref=A
135,1시간,[풍력에너지업 오후 시황] 씨에스윈드 보합세·한일단조 -0.30%·태웅 -0.70%...,리서치페이퍼,"씨에스윈드, 한일단조, 태웅 등이 강세를 보이고 있다. 씨에스윈드의 현재가는 31,550이다. 전 거래일과 비교해 보합세로 보합한 가격이다. 같은 기간 한일단조( 종목은 -0.30%로 하락세를 보이고 있다. 태웅 종목은...",http://research-paper.co.kr/news/view/231401
