,date,title,source,contents,link
1800,2012.10.09.,'독도 불똥'에 한일 통화스와프 확대 종료,한국경제,"독도 문제가 결국 한일 통화스와프 확대 계약 종료로 이어졌다. 당국은 '순수한 경제적 관점의 결정' 이란 입장이지만 국민 정서도 감안한 것으로 해석된다. 한일 양국 정부는 9일 공동 발표문을 통해 ""통화스와프 계약...",http://www.hankyung.com/news/app/newsview.php?aid=201210099366g
1801,2012.09.05.,"신혜성, 한일 팬 400명과 여름 캠프",연합뉴스,그룹 신화의 신혜성(33)이 한국·일본 팬들과 함께 하는 여름 캠프를 마련한다. 소속사인 라이브웍스컴퍼니는 신혜성이 오는 7-9일 강원도 평창 보광 휘닉스파크에서 한국과 일본 팬 400명이 참여하는 여름 캠프 '2012...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=001&aid=0005798271
1802,2012.07.30.,"삼성라이온즈 이승엽, 한일통산 500홈런 '축포'",NSP통신,"프로야구 삼성라이온즈의 이승엽(36)이 한일 통산 500홈런을 달성했다. 이승엽은 29일 목동 넥센전에서 시즌... 한일 통산 500 홈런의 총 비거리는 59,335M이며, 평균 비거리는 118.67M이다. 총 비거리는 세계 최고봉인...",http://www.nspna.com/news/?mode=view&newsid=49916
1803,2012.09.24.,"“독도, 한일 공동관리 하자” 하시모토 오사카 시장 주장",동아일보,[동아일보] 차기 총리감으로 거론될 정도로 대중적 인기가 높은 하시모토 도루(橋下徹) 오사카(大阪) 시장이 독도에 대해 ‘한일 공동관리’를 주장했다. ‘다케시마(竹島·독도의 일본식 표기)는 일본 고유의 영토’라는...,http://news.donga.com/3/all/20120924/49620580/1
1804,2012.08.23.,"日 총리, 항의 서한 접수 거부‥한일 관계 악화",MBC,[뉴스데스크] ◀ＡＮＣ▶ 독도 문제에 대한 일본 노다 총리의 항의서한을 우리 정부가 반송하기로 했지만 일본 정부가 서한 접수를 거부했습니다. 일본 각료들도 강경한 발언을 쏟아내면서 날카롭게 대립각을 세웠습니다....,http://imnews.imbc.com/replay/2012/nwdesk/article/3123481_13022.html
1805,2012.09.07.,"한일단조, 해외자회사 채무 45억 보증 결정",뉴스토마토,한일단조(024740)는 해외자회사인 한일 포징의 채무 45억3800만원을 보증키로 했다고 7일 공시했다. 이는 자기자본대비 5.15%에 달하는 규모로 채무보증기간은 오는 14일부터 2013년 9월14일까지다. ⓒ경제전문...,http://www.newstomato.com/ReadNews.aspx?no=286155
1806,2012.09.06.,"한일축제한마당 2012 in Tokyo, 29일 개막",재외동포신문,지난해 롯폰기힐즈 아레나에서 열린 '한일축제한마당 2011 in Tokyo' 행사 중 K-Pop 커버댄스(사진 왼쪽)와 콘테스트 장면.[사진제공=한일축제한마당2012 in Tokyo홍보사무국] 한일축제한마당 실행위원회(위원장 사사키...,http://www.dongponews.net/news/articleView.html?idxno=22171
1807,2012.09.11.,對日거래기업 12% “한일갈등으로 피해 봤다”…장기화땐 65%로 피해 번질 듯,헤럴드POP,"최근 한일관계 악화로 인해 일본과 거래하는 국내기업 10곳 중 1곳이 피해를 입고 있으며, 양국간 갈등이... 대한상공회의소(회장 손경식)가 대일거래기업 500개사를 대상으로 실시한 ‘최근 한일관계 변화의 산업계...",http://view.heraldcorp.com/view.php?ud=20120911000030
1808,2012.09.17.,[한국@세계]한일 양국의 우호와 시민사회,경남도민일보,필자의 한 오랜 일본인 친구는 독도를 둘러싼 갈등으로 한일간 협력의 분위기가 수면 아래로 가라앉은... 마찬가지로 한일 양국의 우호와 미래도 양국 정치인들이 아닌 깨어있고 희망을 잃지 않는 시민들이 매일같이...,http://www.idomin.com/news/articleView.html?idxno=391386
1809,2012.09.06.,단두대 한일전 지면 3패 ‘우승은커녕’,데일리안,[데일리안 스포츠 = 김태훈 기자] ‘지면 끝!’ 한일전을 앞두고 청소년 야구대표팀이 대만에 일격을 당하며... “한일전은 그 자체만으로도 중요하지만 우승을 위해서는 대만전 승리가 절실하다”고 했던 이정훈 감독...,http://www.dailian.co.kr/news/news_view.htm?id=305065&sc=naver&kind=menu_code&keys=7
1810,2012.09.17.,[한국@세계]한일 양국의 우호와 시민사회,경남도민일보,필자의 한 오랜 일본인 친구는 독도를 둘러싼 갈등으로 한일간 협력의 분위기가 수면 아래로 가라앉은... 마찬가지로 한일 양국의 우호와 미래도 양국 정치인들이 아닌 깨어있고 희망을 잃지 않는 시민들이 매일같이...,http://www.idomin.com/news/articleView.html?idxno=391386
1811,2012.09.06.,단두대 한일전 지면 3패 ‘우승은커녕’,데일리안,[데일리안 스포츠 = 김태훈 기자] ‘지면 끝!’ 한일전을 앞두고 청소년 야구대표팀이 대만에 일격을 당하며... “한일전은 그 자체만으로도 중요하지만 우승을 위해서는 대만전 승리가 절실하다”고 했던 이정훈 감독...,http://www.dailian.co.kr/news/news_view.htm?id=305065&sc=naver&kind=menu_code&keys=7
1812,2012.08.20.,한일 통화스와프 협정 깨지나,매경이코노미,파기돼도 규모 작아 큰 영향 없어 일본이 한일 통화스와프(잠깐용어 참조) 협정을 재검토하겠다고 나섰다. 후지무라 오사무 일본 관방장관이 한일 통화스와프 협정에 대해 “앞으로 여러 검토를 할 수 있다”고 한 게...,http://news.mk.co.kr/news_forward.php?domain=news&no=523916&year=2012
1813,2012.08.16.,"건설협회, 한일건설세미나 29일 개최",연합인포맥스,대한건설협회(회장 최삼규)는 오는 29일 논현동 건설회관에서 '한일건설세미나'를 연다. 이번... 한편 대한건설협회와 일본해외건설협회는 상호이익 증진과 건설협력을 위해 지난1977년 '한일건설협력협의회'를...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=013&aid=0002067270
1814,2012.08.24.,서한 반송 vs 접수거부‥한일 관계 대립각,MBC,"한일관계가 걷잡을 수 없이 악화되지 않을까 우려가 커지고 있습니다. 도쿄에서 박장호 특파원입니다. ◀ＶＣＲ▶ 주일 대사관 측은 노다 총리 서한을 돌려주려고, 일본 외무성을 찾았지만, 일본 외무성은 서한 반송과...",http://imnews.imbc.com/replay/2012/nwtoday/article/3123675_13028.html
1815,2012.10.10.,한일 통화스와프 계약 연장 안 한다,국제신문,"정부가 만기가 돌아온 한일 통화스와프(서로 다른 통화를 약정된 환율에 따라 일정한 시점에서 상호 교환) 계약을 연장하지 않기로 했다. 기획재정부와 한은, 일본 재무성과 일본은행은 9일 공동 발표문을 통해 ""한일...",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20121010.22001215636
1816,2012.08.09.,한일코페 측 “미스터 빈 초청하는 K-코미디 붐 만들고파”,노컷뉴스,"2012 한일코미디페스티벌, 8월 9일 부산 해운대에서 개최 [해운대(부산)= “로완 앳킨스(미스터빈)까지 초청할... 9일, 오후 7시 30분부터 부산광역시 해운대 해수욕장 야외 특설무대에서 열리는 ‘2012 한일코미디페스티벌’...",http://www.nocutnews.co.kr/Show.asp?IDX=2223224
1817,2012.08.27.,"정부, 한일청구권협정 TF회의 개최…‘위안부’ 문제도 논의",노컷뉴스,비공개로 ‘한일 청구권 협정 태스크포스(TF)’와 자문위원이 참석하는 합동 회의를 개최한다. 헌법재판소의 위안부 관련 판결 1주년인 30일을 앞두고 열리는 이날 회의에서는 한일 청구권협정의 분쟁절차에 따라 일본...,http://www.nocutnews.co.kr/Show.asp?IDX=2238744
1818,2012.08.11.,"이 대통령 ""한일전 승리, 하나된 힘의 저력""",SBS(text),"이명박 대통령은 오늘(11일) 새벽 런던 올림픽 축구 한일전을 지켜본 뒤 우리 축구 대표팀의 승리는 하나된 힘의 저력이었다며 선수단의 노고를 치하했습니다. 이 대통령은 선수를 믿는 감독, 나보다 팀을 더 우선하는 선수...",http://news.sbs.co.kr/section_news/news_read.jsp?news_id=N1001322401
1819,2012.09.09.,"한일 외교장관 회동…""냉정히 대응하자""",MBN,한일 외교장관이 회동을 통해 최근 독도와 과거사 문제로 갈등을 겪고 있는 양국이 냉정하게 대응하자는... 환담하면서 한일관계 전반에 대한 상호 입장과 의견을 교환했습니다. 양국 외교장관은 현재 한일간의...,http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=1235229
1820,2012.08.10.,"편의점 씨유, 올림픽 축구 한일전 승리 기원 이벤트",뉴스토마토,"축구 한일전 승리 기원 게릴라 이벤트를 진행한다고 10일 밝혔다. 이번 이벤트는 일본과의 올림픽 축구 3, 4위 결정전이 열리는 11일 새벽 3시45분(한국시간)에 진행된다. 씨유 10일부터 11일까지 올림픽 축구 한일전...",http://www.newstomato.com/ReadNews.aspx?no=278155
1821,2012.08.11.,"'무한도전' 김태호PD ""또 하나의 한일전…여자배구 화이팅!""",데일리안,오늘 기대되는 또 하나의 한일전~! 런던올림픽 여자배구 준결승전~!. 5시40분 '무한도전' 이후 7시10분부터 시작합니다~! 김연경 선수 팔 아프겠지만 한 경기만 더 부탁드려요~! 이숙자선수도 많이 볼 수 있기를.....,http://www.dailian.co.kr/news/news_view.htm?id=301297&sc=naver&kind=menu_code&keys=75
1822,2012.08.10.,[포토] 한일전을 앞두고 시청앞 광장에 모여드는 시민들,뉴데일리,[뉴데일리-정상윤 기자] 11일 새벽 열리는 런던올림픽 축구 한일(韓日)전을 앞두고 서울 시청앞 광장에서... 시청하다가 한일전 시작과 함께 본격적으로 응원에 나설 것이라고 밝혔다. 붉은악마 관계자는 “대표팀의...,http://www.newdaily.co.kr/news/article.html?no=119421
1823,2012.09.02.,"한일 양국, 외교 갈등 속에서도 대북공조 ‘이상 무’",노컷뉴스,"[CBS 독도와 위안부 등 과거사 문제를 둘러싸고 한일 양국이 갈등을 빚고 있지만 대북 공조 채널은 정상적으로 가동되고 있는 것으로 2일 전해졌다. 2일 외교통상부에 따르면, 한일 양국의 북핵 6자회담 수석대표는...",http://www.nocutnews.co.kr/Show.asp?IDX=2244856
1824,2012.08.30.,한일전 U-20 女월드컵서 '욱일승천기' 물의,아시아경제,"2012 런던올림픽 남자축구 3,4위전에 이어 20여일 만에 성사된 한일전. 숙명의 라이벌 간 맞대결을 넘어 최근... 촉각을 곤두세운 FIFA는 ""한일전에 많은 관심을 갖고 있다. 최근 양국의 민감한 상황과 관련, 양 팀 팬들이...",http://www.asiae.co.kr/news/view.htm?idxno=2012083023171251721
